InvoiceID,Date,Time,CustomerID,ProductID,Quantity
C536807,2010-12-02,16:45:00,15834,22778,-1
C536812,2010-12-02,16:58:00,16546,22578,-36
C536812,2010-12-02,16:58:00,16546,22574,-192
C536812,2010-12-02,16:58:00,16546,22593,-144
C536812,2010-12-02,16:58:00,16546,22595,-144
C536812,2010-12-02,16:58:00,16546,22588,-192
C536812,2010-12-02,16:58:00,16546,22130,-144
C536814,2010-12-02,17:03:00,13958,21527,-2
C536814,2010-12-02,17:03:00,13958,72799E,-6
C536814,2010-12-02,17:03:00,13958,85066,-2
C536814,2010-12-02,17:03:00,13958,21586,-12
C536814,2010-12-02,17:03:00,13958,21258,-1
C536815,2010-12-02,17:05:00,14443,85175,-1
C536815,2010-12-02,17:05:00,14443,22178,-1
C536816,2010-12-02,17:06:00,14443,21129,-2
C536817,2010-12-02,17:08:00,14156,22187,-1
C536817,2010-12-02,17:08:00,14156,71477,-1
C536818,2010-12-02,17:09:00,16995,84947,-1
C536820,2010-12-02,17:14:00,18168,22877,-1
C536820,2010-12-02,17:14:00,18168,22869,-1
C536820,2010-12-02,17:14:00,18168,22878,-1
C536820,2010-12-02,17:14:00,18168,21843,-1
C536822,2010-12-02,17:19:00,14625,22847,-2
C536822,2010-12-02,17:19:00,14625,21430,-1
C536825,2010-12-02,17:27:00,15384,22617,-1
C536825,2010-12-02,17:27:00,15384,22197,-2
C536826,2010-12-02,17:30:00,17924,35004B,-2
C536826,2010-12-02,17:30:00,17924,35004B,-3
C536827,2010-12-02,17:31:00,13408,21527,-3
C536828,2010-12-02,17:35:00,14264,22832,-1
C536828,2010-12-02,17:35:00,14264,84946,-3
C536829,2010-12-02,17:36:00,13295,71477,-1
C536850,2010-12-03,09:47:00,14213,22942,-48
C536850,2010-12-03,09:47:00,14213,22689,-50
C536850,2010-12-03,09:47:00,14213,22591,-50
C536850,2010-12-03,09:47:00,14213,22580,-48
C536850,2010-12-03,09:47:00,14213,22186,-48
C536853,2010-12-03,10:07:00,14679,84678,-1
C536854,2010-12-03,10:09:00,15240,22158,-1
C536854,2010-12-03,10:09:00,15240,22944,-1
C536854,2010-12-03,10:09:00,15240,21871,-1
C536855,2010-12-03,10:11:00,18225,21527,-4
C536978,2010-12-03,14:19:00,17954,22776,-1
C536979,2010-12-03,14:23:00,17841,84685,-1
C536979,2010-12-03,14:23:00,17841,22630,-1
C537024,2010-12-03,16:21:00,13941,20893,-36
C537039,2010-12-05,10:25:00,15708,22854,-1
C537039,2010-12-05,10:25:00,15708,20936,-1
C537039,2010-12-05,10:25:00,15708,85175,-1
C537043,2010-12-05,10:48:00,15351,22575,-6
C537043,2010-12-05,10:48:00,15351,11001,-1
C537132,2010-12-05,12:29:00,15221,22788,-2
C537132,2010-12-05,12:29:00,15221,22184,-1
C537132,2010-12-05,12:29:00,15221,71279,-2
C537132,2010-12-05,12:29:00,15221,22761,-2
C537132,2010-12-05,12:29:00,15221,22769,-8
C537132,2010-12-05,12:29:00,15221,22762,-3
C537143,2010-12-05,12:58:00,12748,20685,-1
C537157,2010-12-05,13:09:00,15880,35953,-24
C537164,2010-12-05,13:21:00,14527,D,-1
C537203,2010-12-05,14:44:00,14606,37449,-1
C537203,2010-12-05,14:44:00,14606,21424,-1
C536379,2010-12-01,09:41:00,14527,D,-1
C536383,2010-12-01,09:49:00,15311,35004C,-1
C536391,2010-12-01,10:24:00,17548,22556,-12
C536391,2010-12-01,10:24:00,17548,21984,-24
C536391,2010-12-01,10:24:00,17548,21983,-24
C536391,2010-12-01,10:24:00,17548,21980,-24
C536391,2010-12-01,10:24:00,17548,21484,-12
C536391,2010-12-01,10:24:00,17548,22557,-12
C536391,2010-12-01,10:24:00,17548,22553,-24
C536506,2010-12-01,12:38:00,17897,22960,-6
C536543,2010-12-01,14:30:00,17841,22632,-1
C536543,2010-12-01,14:30:00,17841,22355,-2
C536548,2010-12-01,14:33:00,12472,22244,-4
C536548,2010-12-01,14:33:00,12472,22242,-5
C536548,2010-12-01,14:33:00,12472,20914,-1
C536548,2010-12-01,14:33:00,12472,22892,-7
C536548,2010-12-01,14:33:00,12472,22654,-1
C536548,2010-12-01,14:33:00,12472,22767,-2
C536548,2010-12-01,14:33:00,12472,22333,-1
C536548,2010-12-01,14:33:00,12472,22245,-2
C536548,2010-12-01,14:33:00,12472,22077,-6
C536548,2010-12-01,14:33:00,12472,22631,-1
C536548,2010-12-01,14:33:00,12472,22168,-2
C536548,2010-12-01,14:33:00,12472,21218,-3
C536548,2010-12-01,14:33:00,12472,20957,-1
C536548,2010-12-01,14:33:00,12472,22580,-4
C536606,2010-12-02,09:10:00,14092,20914,-2
C536622,2010-12-02,10:37:00,12471,22752,-2
C536625,2010-12-02,10:46:00,14766,22839,-2
C536642,2010-12-02,11:56:00,14390,21463,-1
C536734,2010-12-02,12:50:00,16042,22780,-4
C536734,2010-12-02,12:50:00,16042,85048,-1
C536737,2010-12-02,13:05:00,15922,22798,-2
C536757,2010-12-02,14:23:00,15838,84347,-9360
C536758,2010-12-02,14:25:00,13767,21314,-1
C536760,2010-12-02,14:29:00,17547,22175,-1
C536760,2010-12-02,14:29:00,17547,22273,-3
C536807,2010-12-02,16:45:00,15834,22501,-2
C536807,2010-12-02,16:45:00,15834,22778,-1
C536812,2010-12-02,16:58:00,16546,22578,-36
C536812,2010-12-02,16:58:00,16546,22574,-192
C536812,2010-12-02,16:58:00,16546,22593,-144
C536812,2010-12-02,16:58:00,16546,22595,-144
C536812,2010-12-02,16:58:00,16546,22588,-192
C536812,2010-12-02,16:58:00,16546,22130,-144
C536814,2010-12-02,17:03:00,13958,21527,-2
C536814,2010-12-02,17:03:00,13958,72799E,-6
C536814,2010-12-02,17:03:00,13958,85066,-2
C536814,2010-12-02,17:03:00,13958,21586,-12
C536814,2010-12-02,17:03:00,13958,21258,-1
C536815,2010-12-02,17:05:00,14443,85175,-1
C536815,2010-12-02,17:05:00,14443,22178,-1
C536816,2010-12-02,17:06:00,14443,21129,-2
C536817,2010-12-02,17:08:00,14156,22187,-1
C536817,2010-12-02,17:08:00,14156,71477,-1
C536818,2010-12-02,17:09:00,16995,84947,-1
C536820,2010-12-02,17:14:00,18168,22877,-1
C536820,2010-12-02,17:14:00,18168,22869,-1
C536820,2010-12-02,17:14:00,18168,22878,-1
C536820,2010-12-02,17:14:00,18168,21843,-1
C536822,2010-12-02,17:19:00,14625,22847,-2
C536822,2010-12-02,17:19:00,14625,21430,-1
C536825,2010-12-02,17:27:00,15384,22617,-1
C536825,2010-12-02,17:27:00,15384,22197,-2
C536826,2010-12-02,17:30:00,17924,35004B,-2
C536826,2010-12-02,17:30:00,17924,35004B,-3
C536827,2010-12-02,17:31:00,13408,21527,-3
C536828,2010-12-02,17:35:00,14264,22832,-1
C536828,2010-12-02,17:35:00,14264,84946,-3
C536829,2010-12-02,17:36:00,13295,71477,-1
C536850,2010-12-03,09:47:00,14213,22942,-48
C536850,2010-12-03,09:47:00,14213,22689,-50
C536850,2010-12-03,09:47:00,14213,22591,-50
C536850,2010-12-03,09:47:00,14213,22580,-48
C536850,2010-12-03,09:47:00,14213,22186,-48
C536853,2010-12-03,10:07:00,14679,84678,-1
C536854,2010-12-03,10:09:00,15240,22158,-1
C536854,2010-12-03,10:09:00,15240,22944,-1
C536854,2010-12-03,10:09:00,15240,21871,-1
C536855,2010-12-03,10:11:00,18225,21527,-4
C536978,2010-12-03,14:19:00,17954,22776,-1
C536979,2010-12-03,14:23:00,17841,84685,-1
C536979,2010-12-03,14:23:00,17841,22630,-1
C537024,2010-12-03,16:21:00,13941,20893,-36
C537039,2010-12-05,10:25:00,15708,22854,-1
C537039,2010-12-05,10:25:00,15708,20936,-1
C537039,2010-12-05,10:25:00,15708,85175,-1
C537043,2010-12-05,10:48:00,15351,22575,-6
C537043,2010-12-05,10:48:00,15351,11001,-1
C537132,2010-12-05,12:29:00,15221,22788,-2
C537132,2010-12-05,12:29:00,15221,22184,-1
C537132,2010-12-05,12:29:00,15221,71279,-2
C537132,2010-12-05,12:29:00,15221,22761,-2
C537132,2010-12-05,12:29:00,15221,22769,-8
C537132,2010-12-05,12:29:00,15221,22762,-3
C537143,2010-12-05,12:58:00,12748,20685,-1
C537157,2010-12-05,13:09:00,15880,35953,-24
C537164,2010-12-05,13:21:00,14527,D,-1
C537203,2010-12-05,14:44:00,14606,37449,-1
C537203,2010-12-05,14:44:00,14606,21424,-1
C536379,2010-12-01,09:41:00,14527,D,-1
C536383,2010-12-01,09:49:00,15311,35004C,-1
C536391,2010-12-01,10:24:00,17548,22556,-12
C536391,2010-12-01,10:24:00,17548,21984,-24
C536391,2010-12-01,10:24:00,17548,21983,-24
C536391,2010-12-01,10:24:00,17548,21980,-24
C536391,2010-12-01,10:24:00,17548,21484,-12
C536391,2010-12-01,10:24:00,17548,22557,-12
C536391,2010-12-01,10:24:00,17548,22553,-24
C536506,2010-12-01,12:38:00,17897,22960,-6
C536543,2010-12-01,14:30:00,17841,22632,-1
C536543,2010-12-01,14:30:00,17841,22355,-2
C536548,2010-12-01,14:33:00,12472,22244,-4
C536548,2010-12-01,14:33:00,12472,22242,-5
C536548,2010-12-01,14:33:00,12472,20914,-1
C536548,2010-12-01,14:33:00,12472,22892,-7
C536548,2010-12-01,14:33:00,12472,22654,-1
C536548,2010-12-01,14:33:00,12472,22767,-2
C536548,2010-12-01,14:33:00,12472,22333,-1
C536548,2010-12-01,14:33:00,12472,22245,-2
C536548,2010-12-01,14:33:00,12472,22077,-6
C536548,2010-12-01,14:33:00,12472,22631,-1
C536548,2010-12-01,14:33:00,12472,22168,-2
C536548,2010-12-01,14:33:00,12472,21218,-3
C536548,2010-12-01,14:33:00,12472,20957,-1
C536548,2010-12-01,14:33:00,12472,22580,-4
C536606,2010-12-02,09:10:00,14092,20914,-2
C536622,2010-12-02,10:37:00,12471,22752,-2
C536625,2010-12-02,10:46:00,14766,22839,-2
C536642,2010-12-02,11:56:00,14390,21463,-1
C536734,2010-12-02,12:50:00,16042,22780,-4
C536734,2010-12-02,12:50:00,16042,85048,-1
C536737,2010-12-02,13:05:00,15922,22798,-2
C536757,2010-12-02,14:23:00,15838,84347,-9360
C536758,2010-12-02,14:25:00,13767,21314,-1
C536760,2010-12-02,14:29:00,17547,22175,-1
C536760,2010-12-02,14:29:00,17547,22273,-3
C536807,2010-12-02,16:45:00,15834,22501,-2
C536807,2010-12-02,16:45:00,15834,22778,-1
C536812,2010-12-02,16:58:00,16546,22578,-36
C536812,2010-12-02,16:58:00,16546,22574,-192
C536812,2010-12-02,16:58:00,16546,22593,-144
C536812,2010-12-02,16:58:00,16546,22595,-144
C536812,2010-12-02,16:58:00,16546,22588,-192
C536812,2010-12-02,16:58:00,16546,22130,-144
C536814,2010-12-02,17:03:00,13958,21527,-2
C536814,2010-12-02,17:03:00,13958,72799E,-6
C536814,2010-12-02,17:03:00,13958,85066,-2
C536814,2010-12-02,17:03:00,13958,21586,-12
C536814,2010-12-02,17:03:00,13958,21258,-1
C536815,2010-12-02,17:05:00,14443,85175,-1
C536815,2010-12-02,17:05:00,14443,22178,-1
C536816,2010-12-02,17:06:00,14443,21129,-2
C536817,2010-12-02,17:08:00,14156,22187,-1
C536817,2010-12-02,17:08:00,14156,71477,-1
C536818,2010-12-02,17:09:00,16995,84947,-1
C536820,2010-12-02,17:14:00,18168,22877,-1
C536820,2010-12-02,17:14:00,18168,22869,-1
C536820,2010-12-02,17:14:00,18168,22878,-1
C536820,2010-12-02,17:14:00,18168,21843,-1
C536822,2010-12-02,17:19:00,14625,22847,-2
C536822,2010-12-02,17:19:00,14625,21430,-1
C536825,2010-12-02,17:27:00,15384,22617,-1
C536825,2010-12-02,17:27:00,15384,22197,-2
C536826,2010-12-02,17:30:00,17924,35004B,-2
C536826,2010-12-02,17:30:00,17924,35004B,-3
C536827,2010-12-02,17:31:00,13408,21527,-3
C536828,2010-12-02,17:35:00,14264,22832,-1
C536828,2010-12-02,17:35:00,14264,84946,-3
C536829,2010-12-02,17:36:00,13295,71477,-1
C536850,2010-12-03,09:47:00,14213,22942,-48
C536850,2010-12-03,09:47:00,14213,22689,-50
C536850,2010-12-03,09:47:00,14213,22591,-50
C536850,2010-12-03,09:47:00,14213,22580,-48
C536850,2010-12-03,09:47:00,14213,22186,-48
C536853,2010-12-03,10:07:00,14679,84678,-1
C536854,2010-12-03,10:09:00,15240,22158,-1
C536854,2010-12-03,10:09:00,15240,22944,-1
C536854,2010-12-03,10:09:00,15240,21871,-1
C536855,2010-12-03,10:11:00,18225,21527,-4
C536978,2010-12-03,14:19:00,17954,22776,-1
C536979,2010-12-03,14:23:00,17841,84685,-1
C536979,2010-12-03,14:23:00,17841,22630,-1
C537024,2010-12-03,16:21:00,13941,20893,-36
C537039,2010-12-05,10:25:00,15708,22854,-1
C537039,2010-12-05,10:25:00,15708,20936,-1
C537039,2010-12-05,10:25:00,15708,85175,-1
C537043,2010-12-05,10:48:00,15351,22575,-6
C537043,2010-12-05,10:48:00,15351,11001,-1
C537132,2010-12-05,12:29:00,15221,22788,-2
C537132,2010-12-05,12:29:00,15221,22184,-1
C537132,2010-12-05,12:29:00,15221,71279,-2
C537132,2010-12-05,12:29:00,15221,22761,-2
C537132,2010-12-05,12:29:00,15221,22769,-8
C537132,2010-12-05,12:29:00,15221,22762,-3
C537143,2010-12-05,12:58:00,12748,20685,-1
C537157,2010-12-05,13:09:00,15880,35953,-24
C537164,2010-12-05,13:21:00,14527,D,-1
C537203,2010-12-05,14:44:00,14606,37449,-1
C537203,2010-12-05,14:44:00,14606,21424,-1
C537232,2010-12-06,09:31:00,12586,84840,-2
C537234,2010-12-06,09:40:00,16161,22653,-20
C537314,2010-12-06,11:42:00,13497,21349,-4
C537320,2010-12-06,11:47:00,14867,35400,-1
C537333,2010-12-06,12:00:00,12474,22636,-4
C537373,2010-12-06,12:55:00,14487,22423,-1
C537379,2010-12-06,13:12:00,15882,22865,-10
C537383,2010-12-06,13:17:00,16550,21658,-1
C537383,2010-12-06,13:17:00,16550,22197,-1
C537383,2010-12-06,13:17:00,16550,22371,-1
C537398,2010-12-06,14:22:00,15426,22430,-1
C537402,2010-12-06,14:43:00,15502,22926,-4
C537402,2010-12-06,14:43:00,15502,22927,-4
C537402,2010-12-06,14:43:00,15502,22849,-4
C537402,2010-12-06,14:43:00,15502,22847,-4
C537402,2010-12-06,14:43:00,15502,47580,-6
C537402,2010-12-06,14:43:00,15502,22196,-12
C537406,2010-12-06,14:53:00,15502,22926,-4
C537406,2010-12-06,14:53:00,15502,22927,-4
C537406,2010-12-06,14:53:00,15502,22847,-4
C537406,2010-12-06,14:53:00,15502,22849,-4
C537408,2010-12-06,14:55:00,15502,47580,-6
C537408,2010-12-06,14:55:00,15502,22196,-12
C537413,2010-12-06,15:07:00,14409,22834,-72
C537414,2010-12-06,15:09:00,16861,POST,-1
C537414,2010-12-06,15:09:00,16861,22086,-6
C537416,2010-12-06,15:10:00,16138,22840,-1
C537417,2010-12-06,15:12:00,13481,22960,-1
C537431,2010-12-06,16:10:00,16782,21755,-1
C537444,2010-12-07,08:42:00,14850,22580,-8
C537445,2010-12-07,08:57:00,15021,22418,-11
C537530,2010-12-07,11:47:00,13319,21527,-1
C537530,2010-12-07,11:47:00,13319,85047,-2
C537530,2010-12-07,11:47:00,13319,22726,-2
C537596,2010-12-07,12:31:00,17954,22968,-2
C537597,2010-12-07,12:34:00,15498,D,-1
C537602,2010-12-07,12:45:00,17511,85099B,-1
C537602,2010-12-07,12:45:00,17511,21622,-1
C537602,2010-12-07,12:45:00,17511,22065,-1
C537602,2010-12-07,12:45:00,17511,22061,-1
C537602,2010-12-07,12:45:00,17511,22654,-1
C537602,2010-12-07,12:45:00,17511,85123A,-1
C537602,2010-12-07,12:45:00,17511,22665,-1
C537602,2010-12-07,12:45:00,17511,22197,-1
C537602,2010-12-07,12:45:00,17511,22659,-4
C537602,2010-12-07,12:45:00,17511,22169,-1
C537602,2010-12-07,12:45:00,17511,21843,-1
C537602,2010-12-07,12:45:00,17511,22423,-2
C537602,2010-12-07,12:45:00,17511,84050,-1
C537602,2010-12-07,12:45:00,17511,22198,-1
C537611,2010-12-07,13:25:00,17675,22865,-36
C537656,2010-12-07,16:21:00,15100,21258,-12
C537677,2010-12-08,09:55:00,14796,21166,-1
C537684,2010-12-08,10:18:00,14901,22301,-1
C537684,2010-12-08,10:18:00,14901,22730,-1
C537746,2010-12-08,11:03:00,15021,22156,-1
C537746,2010-12-08,11:03:00,15021,21558,-1
C537746,2010-12-08,11:03:00,15021,71477,-1
C537756,2010-12-08,11:33:00,14952,21914,-24
C537756,2010-12-08,11:33:00,14952,84949,-8
C537756,2010-12-08,11:33:00,14952,21275,-4
C537763,2010-12-08,12:03:00,16713,85068,-1
C537788,2010-12-08,12:49:00,15916,90062,-1
C537788,2010-12-08,12:49:00,15916,16202E,-1
C537797,2010-12-08,13:07:00,13113,22501,-1
C537797,2010-12-08,13:07:00,13113,22423,-2
C537797,2010-12-08,13:07:00,13113,22469,-1
C537798,2010-12-08,13:07:00,16553,22357,-1
C537805,2010-12-08,13:18:00,15311,35004C,-1
C537805,2010-12-08,13:18:00,15311,40001,-2
C537805,2010-12-08,13:18:00,15311,85047,-1
C537805,2010-12-08,13:18:00,15311,22719,-3
C537805,2010-12-08,13:18:00,15311,20798,-4
C537805,2010-12-08,13:18:00,15311,22198,-1
C537805,2010-12-08,13:18:00,15311,22197,-1
C537805,2010-12-08,13:18:00,15311,20829,-1
C537805,2010-12-08,13:18:00,15311,22571,-1
C537807,2010-12-08,13:23:00,13495,84949,-5
C537807,2010-12-08,13:23:00,13495,21730,-3
C537807,2010-12-08,13:23:00,13495,21143,-1
C537807,2010-12-08,13:23:00,13495,21812,-6
C537812,2010-12-08,13:33:00,14299,21843,-10
C537812,2010-12-08,13:33:00,14299,22423,-10
C537814,2010-12-08,13:43:00,12712,20703,-3
C537820,2010-12-08,14:10:00,16016,22627,-1
C537821,2010-12-08,14:20:00,18193,85048,-3
C537824,2010-12-08,14:27:00,12870,22220,-1
C537824,2010-12-08,14:27:00,12870,22784,-1
C537832,2010-12-08,14:52:00,16858,22073,-2
C537832,2010-12-08,14:52:00,16858,21531,-4
C537832,2010-12-08,14:52:00,16858,21527,-2
C537834,2010-12-08,14:54:00,13267,22697,-1
C537834,2010-12-08,14:54:00,13267,21314,-1
C537834,2010-12-08,14:54:00,13267,22798,-3
C537835,2010-12-08,14:57:00,14618,22138,-3
C537838,2010-12-08,15:01:00,13115,22299,-4
C537853,2010-12-08,15:57:00,13370,79000,-1
C537853,2010-12-08,15:57:00,13370,22940,-1
C537853,2010-12-08,15:57:00,13370,22169,-2
C537853,2010-12-08,15:57:00,13370,22697,-1
C537853,2010-12-08,15:57:00,13370,22960,-2
C537856,2010-12-08,15:59:00,14388,37370,-2
C537856,2010-12-08,15:59:00,14388,21843,-1
C537857,2010-12-08,16:00:00,17340,D,-1
C537860,2010-12-08,16:15:00,16252,84406B,-8
C537860,2010-12-08,16:15:00,16252,22295,-12
C537860,2010-12-08,16:15:00,16252,22193,-2
C537860,2010-12-08,16:15:00,16252,22180,-1
C537860,2010-12-08,16:15:00,16252,21624,-3
C537860,2010-12-08,16:15:00,16252,21485,-3
C537860,2010-12-08,16:15:00,16252,20897,-6
C537860,2010-12-08,16:15:00,16252,37370,-12
C537860,2010-12-08,16:15:00,16252,22049,-25
C537860,2010-12-08,16:15:00,16252,21888,-4
C537860,2010-12-08,16:15:00,16252,21240,-8
C537860,2010-12-08,16:15:00,16252,21066,-12
C537860,2010-12-08,16:15:00,16252,20675,-8
C537860,2010-12-08,16:15:00,16252,22192,-2
C537860,2010-12-08,16:15:00,16252,21244,-8
C537860,2010-12-08,16:15:00,16252,21242,-8
C537860,2010-12-08,16:15:00,16252,20676,-8
C537860,2010-12-08,16:15:00,16252,79066K,-10
C537860,2010-12-08,16:15:00,16252,22637,-6
C537860,2010-12-08,16:15:00,16252,22508,-4
C537860,2010-12-08,16:15:00,16252,21238,-8
C537893,2010-12-09,10:14:00,12721,22450,-1
C537893,2010-12-09,10:14:00,12721,22634,-2
C537893,2010-12-09,10:14:00,12721,22630,-2
C537998,2010-12-09,11:42:00,17411,22727,-4
C537998,2010-12-09,11:42:00,17411,22725,-4
C538052,2010-12-09,13:28:00,15181,22138,-1
C538059,2010-12-09,13:38:00,14205,84380,-12
C538059,2010-12-09,13:38:00,14205,21535,-6
C538059,2010-12-09,13:38:00,14205,20914,-6
C538059,2010-12-09,13:38:00,14205,84378,-12
C538059,2010-12-09,13:38:00,14205,48188,-2
C538059,2010-12-09,13:38:00,14205,22697,-6
C538059,2010-12-09,13:38:00,14205,48187,-2
C538059,2010-12-09,13:38:00,14205,22727,-4
C538059,2010-12-09,13:38:00,14205,22699,-6
C538059,2010-12-09,13:38:00,14205,22698,-6
C538059,2010-12-09,13:38:00,14205,21975,-24
C538059,2010-12-09,13:38:00,14205,21533,-3
C538059,2010-12-09,13:38:00,14205,21217,-3
C538059,2010-12-09,13:38:00,14205,21210,-12
C538062,2010-12-09,13:40:00,17702,22139,-14
C538062,2010-12-09,13:40:00,17702,22329,-4
C538062,2010-12-09,13:40:00,17702,21430,-1
C538062,2010-12-09,13:40:00,17702,22168,-2
C538062,2010-12-09,13:40:00,17702,20973,-2
C538066,2010-12-09,13:58:00,15738,22083,-1
C538075,2010-12-09,14:12:00,13021,21284,-12
C538081,2010-12-09,14:29:00,16898,22630,-33
C538082,2010-12-09,14:30:00,13777,21864,-20
C538083,2010-12-09,14:40:00,15750,85099B,-3
C538083,2010-12-09,14:40:00,15750,22633,-4
C538084,2010-12-09,14:42:00,12649,22860,-6
C538084,2010-12-09,14:42:00,12649,22859,-6
C538085,2010-12-09,14:43:00,16350,82486,-1
C538085,2010-12-09,14:43:00,16350,21314,-1
C538085,2010-12-09,14:43:00,16350,82483,-1
C538088,2010-12-09,14:45:00,14766,84625C,-24
C538089,2010-12-09,14:47:00,18230,21906,-1
C538091,2010-12-09,14:48:00,16499,35400,-2
C538098,2010-12-09,14:57:00,14441,22168,-1
C538099,2010-12-09,14:58:00,15279,72807C,-1
C538099,2010-12-09,14:58:00,15279,22457,-3
C538100,2010-12-09,15:00:00,16579,84798A,-12
C538102,2010-12-09,15:01:00,14047,84792,-2
C538103,2010-12-09,15:13:00,17442,22941,-2
C538105,2010-12-09,15:18:00,16781,79163,-1
C538105,2010-12-09,15:18:00,16781,21781,-1
C538109,2010-12-09,15:23:00,16042,22780,-4
C538109,2010-12-09,15:23:00,16042,85048,-1
C538110,2010-12-09,15:24:00,17307,21232,-144
C538111,2010-12-09,15:24:00,17950,21830,-24
C538112,2010-12-09,15:28:00,14898,22072,-1
C538112,2010-12-09,15:28:00,14898,21777,-3
C538114,2010-12-09,15:29:00,14217,21275,-1
C538115,2010-12-09,15:30:00,16817,22178,-1
C538115,2010-12-09,15:30:00,16817,22251,-9
C538115,2010-12-09,15:30:00,16817,22233,-12
C538115,2010-12-09,15:30:00,16817,22230,-12
C538118,2010-12-09,15:33:00,17700,22910,-1
C538118,2010-12-09,15:33:00,17700,22784,-1
C538118,2010-12-09,15:33:00,17700,47594A,-1
C538119,2010-12-09,15:34:00,13136,22633,-1
C538119,2010-12-09,15:34:00,13136,22865,-1
C538119,2010-12-09,15:34:00,13136,21777,-2
C538121,2010-12-09,15:36:00,15535,22461,-1
C538122,2010-12-09,15:38:00,14696,22444,-1
C538123,2010-12-09,15:41:00,12605,22331,-1
C538123,2010-12-09,15:41:00,12605,22333,-1
C538123,2010-12-09,15:41:00,12605,22956,-2
C538124,2010-12-09,15:43:00,15329,M,-4
C538124,2010-12-09,15:43:00,15329,22699,-1
C538124,2010-12-09,15:43:00,15329,22423,-1
C538164,2010-12-09,17:32:00,14031,35004B,-1
C538314,2010-12-10,13:52:00,15514,22586,-47
C538341,2010-12-10,14:03:00,15514,84380,-1
C538341,2010-12-10,14:03:00,15514,22988,-36
C538341,2010-12-10,14:03:00,15514,22988,-12
C538341,2010-12-10,14:03:00,15514,22976,-12
C538341,2010-12-10,14:03:00,15514,22976,-12
C538341,2010-12-10,14:03:00,15514,22976,-12
C538341,2010-12-10,14:03:00,15514,22973,-18
C538341,2010-12-10,14:03:00,15514,22943,-6
C538341,2010-12-10,14:03:00,15514,22752,-96
C538341,2010-12-10,14:03:00,15514,22730,-1
C538341,2010-12-10,14:03:00,15514,22730,-1
C538341,2010-12-10,14:03:00,15514,22730,-1
C538341,2010-12-10,14:03:00,15514,22729,-4
C538341,2010-12-10,14:03:00,15514,22729,-1
C538341,2010-12-10,14:03:00,15514,22728,-1
C538341,2010-12-10,14:03:00,15514,22728,-3
C538341,2010-12-10,14:03:00,15514,22727,-1
C538341,2010-12-10,14:03:00,15514,22727,-2
C538341,2010-12-10,14:03:00,15514,22727,-2
C538341,2010-12-10,14:03:00,15514,22727,-1
C538341,2010-12-10,14:03:00,15514,22726,-1
C538341,2010-12-10,14:03:00,15514,22726,-2
C538341,2010-12-10,14:03:00,15514,22726,-3
C538341,2010-12-10,14:03:00,15514,22726,-1
C538341,2010-12-10,14:03:00,15514,22725,-1
C538341,2010-12-10,14:03:00,15514,22725,-1
C538341,2010-12-10,14:03:00,15514,22725,-3
C538341,2010-12-10,14:03:00,15514,22725,-1
C538341,2010-12-10,14:03:00,15514,22621,-48
C538341,2010-12-10,14:03:00,15514,22586,-1
C538341,2010-12-10,14:03:00,15514,22243,-6
C538341,2010-12-10,14:03:00,15514,22131,-1
C538341,2010-12-10,14:03:00,15514,22086,-1
C538341,2010-12-10,14:03:00,15514,21889,-24
C538341,2010-12-10,14:03:00,15514,21731,-1
C538341,2010-12-10,14:03:00,15514,21647,-1
